age rate
16 0
17 0,001544402	
18 0,007729648	
19 0,036598551	
20 0,092075486	
21 0,169931137	
22 0,195925421	
23 0,168110627	
24 0,113383036	
25 0,074678767	
26 0,055058303	
27 0,045743639	
28 0,040781863
29 0,036968162
30 0,034546781
31 0,031650369
32 0,029227235
33 0,028246398
34 0,027594429
35 0,026509004
36 0,025472452
37 0,024524132
38 0,024642716
39 0,024413548
40 0,024378844
41 0,024407858
42 0,024541394
43 0,024057799
44 0,024349983
45 0,025369843
46 0,0259843
47 0,02624549
48 0,025542657
49 0,025262299
50 0,0251063
51 0,024885194
52 0,024345234
53 0,024385956
54 0,023632307
55 0,023668641
56 0,024234304
57 0,026137505
58 0,031811211
59 0,040321183
60 0,062851047
61 0,078657754
62 0,100235621
63 0,098634977
64 0,086355675
65 0,080926879
66 0,060816332
67 0,045538545
68 0,034795133
69 0,033001046
70 0,033422255
71 0,033853236
72 0,033885682
73 0,033885682
74 0,033885682
75 0,033885682
76 0,033885682
77 0,033885682
78 0,033885682
79 0,033885682
80 0,033885682
81 0,033885682
82 0,033885682
83 0,033885682
84 0
120 0
